Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-07-23,83431.875,84227.41135280095,82934.6647794994,83730.20113230035,15766389
2024-07-24,81542.4765625,82835.22314214939,81443.03451791158,82437.45496379574,16939083
2024-07-25,79951.3984375,80548.05066464552,79653.07232392723,79951.3984375,20323811
2024-07-26,80448.609375,80846.37753012979,79951.39918108776,80249.7252974351,14508334
2024-07-29,80746.9375,81542.47383004926,80647.49545874384,81144.70566502462,12797136
2024-07-30,80548.0546875,80548.0546875,79553.63425925926,79951.40243055555,13169636
2024-07-31,83431.875,83431.875,80448.61367699642,80746.93980929677,20744323
2024-08-01,82636.3359375,85619.5971626805,82636.3359375,85520.15512184115,20900338
2024-08-02,79155.8671875,80945.82398319725,79056.4251432946,80548.05580637563,25800275
2024-08-05,71001.6171875,76470.92943583684,69808.31269695378,76272.04535407913,54608790
2024-08-06,72095.4765625,74879.85358836206,71896.59248922413,74482.08544181034,47295226
2024-08-07,74283.203125,75575.94963186077,72393.80438420348,72592.68846218206,32710428
2024-08-08,72990.4609375,73487.67116186989,72095.48253363419,72791.57684775205,28414729
2024-08-09,74283.203125,75377.06555388219,73785.99293005354,75277.6235148929,16388222
2024-08-12,75078.7421875,75476.5103580298,74382.64788907285,74780.41605960265,9839259
2024-08-13,75675.390625,76172.60081307491,75078.73839931012,76073.15877545993,10716261
2024-08-14,76769.2578125,77365.91007529145,76570.37372490285,76968.14190009715,13246168
2024-08-16,79752.515625,79752.515625,78260.88503350997,78956.97930953866,22061478
2024-08-19,77863.1171875,79653.07390445402,77564.79106800766,79653.07390445402,14146565
2024-08-20,78459.7734375,79354.75184173003,78260.88934767111,79056.42570698669,10683836
2024-08-21,77863.1171875,78161.44330699234,77365.9069883461,77465.34902817688,7805598
2024-08-22,77863.1171875,78459.76942648467,77365.9069883461,78260.88534682311,8149101
2024-08-23,77266.46875,77962.56306306306,77067.5846605534,77266.46875,9420306
2024-08-26,75675.390625,77763.67341491459,75575.94858738502,77664.23137729961,15655938
2024-08-27,75377.0703125,76073.16462937005,75178.18622196569,75277.62826723285,11130145
2024-08-28,75973.71875,75973.71875,74979.29834751309,75377.06650850785,9794514
2024-08-29,73587.109375,74283.20365287163,73089.89917652027,73189.34121621621,16884479
2024-08-30,73885.4375,74581.53179676985,73686.5534152086,73984.87954239569,16358520
2024-09-02,73984.875,74283.20110887097,73089.89667338709,74084.31703629032,12641376
2024-09-03,72095.4765625,73885.43322198276,72095.4765625,73686.5491487069,16314599
2024-09-04,69609.4296875,70703.29215401785,69410.54560267857,69410.54560267857,27366563
2024-09-05,68615.0078125,70802.73269927537,68615.0078125,69708.87025588768,25686769
2024-09-06,68515.5625,69311.09878447025,67620.58417997097,68714.44657111756,19022299
2024-09-09,67123.375,67819.46925925926,66228.39666666667,66526.72277777777,23263298
2024-09-10,65830.6328125,66924.49529125755,65631.74872545317,66626.1691606873,30651376
2024-09-11,64537.8828125,65134.53504189137,63841.788544876734,64736.76688896379,35809707
2024-09-12,65930.0703125,66228.39642251132,64836.20790912519,65631.74420248868,35884106
2024-09-13,64040.67578125,65134.53825577445,63941.23373811141,64637.32804008152,25045135
2024-09-19,62747.9296875,64040.67625792393,61852.951292591126,63642.908082408874,49402713
2024-09-20,62648.484375,64338.999032738095,62648.484375,63444.020684523806,32746056
2024-09-23,62250.71875,63145.69713458466,61852.95057907348,61952.392621805106,28542376
2024-09-24,62847.37109375,63046.255179489715,62051.83475079114,62449.60292227057,26957500
2024-09-25,61852.94921875,63841.79002964229,61852.94921875,63444.02186746383,28652438
2024-09-26,64339.0,64537.88408037094,63344.57959814528,63543.46367851623,37566015
2024-09-27,64200.0,65400.0,64200.0,64700.0,28433030
2024-09-30,61500.0,64300.0,61500.0,64200.0,32694163
2024-10-02,61300.0,61900.0,59900.0,60500.0,28473536
2024-10-04,60600.0,61700.0,60500.0,61000.0,24247578
2024-10-07,61000.0,61900.0,59500.0,60200.0,35066533
2024-10-08,60300.0,61000.0,59900.0,60000.0,27411786
2024-10-10,58900.0,60200.0,58900.0,60100.0,45262214
2024-10-11,59300.0,60100.0,59000.0,59100.0,29623969
2024-10-14,59300.0,61200.0,59400.0,59500.0,20886249
2024-10-15,61000.0,61400.0,60100.0,61100.0,22715239
2024-10-16,59500.0,60000.0,59200.0,59400.0,23303268
2024-10-17,59700.0,60100.0,59100.0,59400.0,23372873
2024-10-18,59200.0,60100.0,59100.0,59900.0,14420260
2024-10-21,59000.0,59600.0,58500.0,59000.0,18514905
2024-10-22,57700.0,58900.0,57700.0,58800.0,27582527
2024-10-23,59100.0,60000.0,57100.0,57500.0,27300780
2024-10-24,56600.0,58500.0,56600.0,58200.0,31499922
2024-10-25,55900.0,56900.0,55800.0,56000.0,25829315
2024-10-28,58100.0,58500.0,55700.0,55700.0,27775009
2024-10-29,59600.0,59600.0,57300.0,58000.0,28369314
2024-10-30,59100.0,59800.0,58600.0,59100.0,19838511
2024-10-31,59200.0,61200.0,58300.0,58500.0,35809196
2024-11-01,58300.0,59600.0,58100.0,59000.0,19083180
2024-11-04,58700.0,59400.0,58400.0,58600.0,15586947
2024-11-05,57600.0,58100.0,57200.0,57800.0,17484474
2024-11-06,57300.0,58000.0,56300.0,57600.0,22092218
2024-11-07,57300.0,58100.0,56800.0,56900.0,17043102
2024-11-08,57000.0,58300.0,57000.0,58000.0,13877396
2024-11-11,55000.0,56800.0,55000.0,56700.0,29811326
2024-11-12,53000.0,54600.0,53000.0,54600.0,37962881
2024-11-13,50600.0,53000.0,50500.0,52000.0,52527995
2024-11-14,49900.0,51800.0,49900.0,50200.0,48510715
2024-11-15,53500.0,54200.0,50300.0,50300.0,46774485
2024-11-18,56700.0,57500.0,55900.0,57000.0,48095234
2024-11-19,56300.0,57500.0,55900.0,56500.0,31539632
2024-11-20,55300.0,56500.0,54800.0,56100.0,20864667
2024-11-21,56400.0,56900.0,54700.0,54900.0,19096850
2024-11-22,56000.0,56700.0,55900.0,56000.0,15281543
2024-11-25,57900.0,57900.0,56700.0,57400.0,36237325
2024-11-26,58300.0,58900.0,57500.0,57900.0,23209405
2024-11-27,56300.0,57800.0,56000.0,57700.0,21808387
2024-11-28,55500.0,56400.0,55200.0,56000.0,20001134
2024-11-29,54200.0,55300.0,53800.0,55100.0,24513531
2024-12-02,53600.0,54400.0,53100.0,54300.0,22044867
2024-12-03,53600.0,54400.0,53100.0,53100.0,23374603
2024-12-04,53100.0,53400.0,52000.0,52000.0,29004766
2024-12-05,53700.0,54400.0,53200.0,53200.0,23588277
2024-12-06,54100.0,54400.0,52700.0,53900.0,22861874
2024-12-09,53400.0,54600.0,53200.0,53500.0,26227680
2024-12-10,54000.0,54500.0,53700.0,54500.0,20783970
2024-12-11,54000.0,54200.0,53400.0,53600.0,14565947
2024-12-12,55900.0,56500.0,53900.0,54000.0,33476698
2024-12-13,56100.0,56300.0,55500.0,55800.0,15908823
